t,S,I,R
11.53642292501235,428,237,335
11.555222767480481,427,238,335
11.560073339896093,426,239,335
11.566751833191129,425,240,335
11.57664938622732,424,241,335
11.57778363518039,423,242,335
11.598060505793631,423,241,336
11.598588607726686,422,242,336
11.605388430456257,421,243,336
11.608216490881665,420,244,336
11.612274058887294,419,245,336
11.612971479286179,419,244,337
11.613438699948624,419,243,338
11.614246994288129,419,242,339
11.617029633498792,418,243,339
11.618167484072004,418,242,340
11.621390297318996,417,243,340
11.622555988425884,417,242,341
11.626550172974486,416,243,341
11.62710121377815,415,244,341
11.628953493826343,414,245,341
11.633186973743477,413,246,341
11.635661982940785,412,247,341
11.636218064903586,411,248,341
11.654409586752438,411,247,342
11.675271845859337,411,246,343
11.677708427050945,411,245,344
11.686540892351442,410,246,344
11.692578723024939,410,245,345
11.694936577543269,409,246,345
11.70105232169627,409,245,346
11.704006765291386,409,244,347
11.714926837245905,408,245,347
11.720047388312695,408,244,348
11.730376363424627,407,245,348
11.741688164399415,406,246,348
11.750716897682302,406,245,349
11.772440346521076,405,246,349
11.77369180204066,405,245,350
11.775228858722038,404,246,350
11.778059030960737,403,247,350
11.78331419342272,402,248,350
11.80195374920935,401,249,350
11.8021233288047,401,248,351
11.80625109938483,401,247,352
11.817455081731621,401,246,353
11.819371734822939,400,247,353
11.827835818585367,399,248,353
11.828683393479714,399,247,354
11.843746926211214,399,246,355
11.858849524490045,398,247,355
11.867987220288567,397,248,355
11.868532026814595,396,249,355
11.88470594042338,395,250,355
11.894753509798296,395,249,356
11.89828289609518,395,248,357
11.89982406532526,394,249,357
11.900171606440319,393,250,357
11.91504195876575,392,251,357
11.916208171486012,392,250,358
11.916899831835913,392,249,359
11.923826234908304,391,250,359
11.924001854886708,390,251,359
11.927494412701176,389,252,359
11.932911872105128,389,251,360
11.940861480279438,388,252,360
11.964444681776806,387,253,360
11.97072087062416,387,252,361
11.972122677191752,386,253,361
11.977825035675918,386,252,362
11.99029988682855,385,253,362
11.995810790781729,385,252,363
12.00585491591541,384,253,363
12.00811666019173,384,252,364
12.076317992848702,383,253,364
